sample_id,field_id,exposure_start,exposure_end,spore_magnaporthe_oryzae,spore_alternaria,spore_bipolaris,spore_curvularia,spore_curvularia_eragrostidis,spore_exserohilum,spore_fusarium,spore_fusarium_microconidie,spore_mycelium,total_spores,diversity_index,lb_mean_temp,lb_mean_humidity,lb_wet_hours,lb_rain_sum,lb_blast_risk_days,lf_fc_wet_hours,lf_fc_rain_prob,lf_fc_blast_risk_days,inoculum_state_prev,proxy_risk_label
S-2026-05-04-01,F01,2026-04-27 09:00:00,2026-05-04 09:00:00,23,3,2,4,1,1,8,2,6,50,1.6897,26.69,79.21,41.0,48.31,0,78.83,0.0268,0,0.0,Medium
S-2026-05-11-02,F01,2026-05-04 09:00:00,2026-05-11 09:00:00,24,3,3,9,1,1,7,3,6,57,1.757,27.05,78.1,78.83,45.85,0,77.83,0.0377,0,23.0,Medium
S-2026-05-18-03,F01,2026-05-11 09:00:00,2026-05-18 09:00:00,49,2,5,7,0,0,8,4,8,83,1.3758,27.02,78.01,77.83,81.74,0,77.67,0.0377,0,41.04,High
S-2026-05-25-04,F01,2026-05-18 09:00:00,2026-05-25 09:00:00,43,2,2,4,4,1,4,3,8,71,1.4307,27.0,78.0,77.67,97.63,0,76.83,0.0367,0,79.4,High
S-2026-06-01-05,F01,2026-05-25 09:00:00,2026-06-01 09:00:00,60,3,0,2,1,1,8,5,10,90,1.1881,26.95,78.1,76.83,83.53,0,76.5,0.0367,0,101.82,High
S-2026-06-08-06,F01,2026-06-01 09:00:00,2026-06-08 09:00:00,56,1,2,5,1,4,9,4,5,87,1.3192,26.99,78.1,76.5,123.84,0,76.83,0.0327,0,135.43,High
S-2026-06-15-07,F01,2026-06-08 09:00:00,2026-06-15 09:00:00,70,8,4,4,4,2,13,4,3,112,1.3771,26.98,77.98,76.83,73.8,0,76.17,0.0387,0,156.33,Critical
S-2026-06-22-08,F01,2026-06-15 09:00:00,2026-06-22 09:00:00,82,2,1,8,0,0,10,5,3,111,0.9821,26.98,77.93,76.17,100.56,0,76.67,0.0496,0,185.81,Critical
S-2026-06-29-09,F01,2026-06-22 09:00:00,2026-06-29 09:00:00,67,4,2,4,4,0,9,4,1,95,1.1322,27.02,78.01,76.67,112.85,0,77.17,0.0407,0,219.65,High
S-2026-07-06-10,F01,2026-06-29 09:00:00,2026-07-06 09:00:00,81,3,2,10,2,4,7,2,11,122,1.2632,27.02,77.89,77.17,99.08,0,77.33,0.0496,0,229.72,Critical
S-2026-07-13-11,F01,2026-07-06 09:00:00,2026-07-13 09:00:00,105,4,3,2,2,0,13,1,3,133,0.8534,26.98,78.07,77.33,105.5,0,75.67,0.0387,0,251.18,Critical
S-2026-07-20-12,F01,2026-07-13 09:00:00,2026-07-20 09:00:00,118,5,1,5,4,2,8,3,13,159,1.0485,26.98,77.89,75.67,137.39,0,76.17,0.0367,0,291.08,Critical
