sample_id,field_id,trap_id,exposure_start,exposure_end,image_path,spore_magnaporthe_oryzae,spore_alternaria,spore_bipolaris,spore_curvularia,spore_curvularia_eragrostidis,spore_exserohilum,spore_fusarium,spore_fusarium_microconidie,spore_mycelium,lab_capture_date,officer_id
S-2026-05-04-01,F01,TRAP-A,2026-04-27 09:00:00,2026-05-04 09:00:00,data/raw/images/S-2026-05-04-01.tif,23,3,2,4,1,1,8,2,6,2026-05-06,OFC-001
S-2026-05-11-02,F01,TRAP-A,2026-05-04 09:00:00,2026-05-11 09:00:00,data/raw/images/S-2026-05-11-02.tif,24,3,3,9,1,1,7,3,6,2026-05-13,OFC-002
S-2026-05-18-03,F01,TRAP-A,2026-05-11 09:00:00,2026-05-18 09:00:00,data/raw/images/S-2026-05-18-03.tif,49,2,5,7,0,0,8,4,8,2026-05-20,OFC-003
S-2026-05-25-04,F01,TRAP-A,2026-05-18 09:00:00,2026-05-25 09:00:00,data/raw/images/S-2026-05-25-04.tif,43,2,2,4,4,1,4,3,8,2026-05-27,OFC-001
S-2026-06-01-05,F01,TRAP-A,2026-05-25 09:00:00,2026-06-01 09:00:00,data/raw/images/S-2026-06-01-05.tif,60,3,0,2,1,1,8,5,10,2026-06-03,OFC-002
S-2026-06-08-06,F01,TRAP-A,2026-06-01 09:00:00,2026-06-08 09:00:00,data/raw/images/S-2026-06-08-06.tif,56,1,2,5,1,4,9,4,5,2026-06-10,OFC-003
S-2026-06-15-07,F01,TRAP-A,2026-06-08 09:00:00,2026-06-15 09:00:00,data/raw/images/S-2026-06-15-07.tif,70,8,4,4,4,2,13,4,3,2026-06-17,OFC-001
S-2026-06-22-08,F01,TRAP-A,2026-06-15 09:00:00,2026-06-22 09:00:00,data/raw/images/S-2026-06-22-08.tif,82,2,1,8,0,0,10,5,3,2026-06-24,OFC-002
S-2026-06-29-09,F01,TRAP-A,2026-06-22 09:00:00,2026-06-29 09:00:00,data/raw/images/S-2026-06-29-09.tif,67,4,2,4,4,0,9,4,1,2026-07-01,OFC-003
S-2026-07-06-10,F01,TRAP-A,2026-06-29 09:00:00,2026-07-06 09:00:00,data/raw/images/S-2026-07-06-10.tif,81,3,2,10,2,4,7,2,11,2026-07-08,OFC-001
S-2026-07-13-11,F01,TRAP-A,2026-07-06 09:00:00,2026-07-13 09:00:00,data/raw/images/S-2026-07-13-11.tif,105,4,3,2,2,0,13,1,3,2026-07-15,OFC-002
S-2026-07-20-12,F01,TRAP-A,2026-07-13 09:00:00,2026-07-20 09:00:00,data/raw/images/S-2026-07-20-12.tif,118,5,1,5,4,2,8,3,13,2026-07-22,OFC-003
S-2026-08-05-2D17,F01,TRAP-A,2026-07-29 15:43:18,2026-08-05 15:43:18,data/raw/images/S-2026-08-05-2D17.jpg,25,3,2,0,0,0,0,0,0,2026-08-05,OFC-001
S-2026-08-05-10D8,F01,TRAP-A,2026-07-29 17:01:39,2026-08-05 17:01:39,data/raw/images/S-2026-08-05-10D8.jpg,25,3,2,0,0,0,0,0,0,2026-08-05,OFC-001
